status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name
✅ Trip Verified ,A320,Solo Leisure,Business Class,Istanbul to London Heathrow,December 2023,1.0,4.0,5.0,1.0,,2.0,4,yes,8,"  For the price paid (bought during a sale) it was a decent experience although the club class (business class) seats offer no more legroom than economy class (using short-haul fleet on a 4 hour flight). Fast track through security was not honoured. The lounge at Istanbul airport was over-crowded as it is also open to the public who can pay for usage, causing a long queue for entry , which was badly organised. Boarding was smooth, cabin crew were friendly but their service was hit-and-miss. Eg. Some people got a “welcome” and some didn’t; Half of the cabin was automatically offered coffee after dinner but not the other half. However, drinks were replenished generously and regularly and the meal was good (with a choice of three mains from the menu).",british airways
✅ Trip Verified ,A320,Solo Leisure,Economy Class,London Heathrow to Istanbul,December 2023,3.0,2.0,1.0,1.0,,5.0,2,no,6,"  Flight left on time and arrived over half an hour earlier than scheduled (thanks to strong tail winds). The flight was full but no catering had been loaded for economy passenger at Heathrow so for 3 and a half hours we only had a small bottle of water and a small packet of corn snacks. Nothing at all available to even buy to eat! Worse than a low-cost carrier experience in this sense. One of the light panels overhead the seats towards the back of the plan was broken and loose and just hanging above the unfortunate passenger's head for the whole flight (poor maintenance of cabin). I would choose another airline on this route in the future, as one of their competitors offers full meal service on this route even in the economy cabin.",british airways
✅ Trip Verified ,Boeing 777,Business,Business Class,Gatwick to St Lucia,December 2023,1.0,5.0,2.0,2.0,2.0,1.0,2,no,2,"  Very Poor Business class product, BA is not even close to the other airline leaders. Which ever way they sell the seat on a 777 it is a 2-4-2 layout. The cabin feels and is very cramped. The food in business class is economy quality just served in a china dish! However, the price of course is at premier levels. The only positive of the whole fight and return were the cabin crew who were fantastic. I felt genuinely sorry for them having to try and flog such a poor product. Would I fly BA business again? only if their were no other options and I had no choice.",british airways
Not Verified ,Boeing 777,Couple Leisure,Business Class,Sydney to London Heathrow,December 2023,5.0,3.0,1.0,3.0,,3.0,3,no,5," This review is for LHR-SYD-LHR. BA015 and BA016. Business class had a 1-2-1 configuration on 777 giving space, privacy and easy aisle access. Seat reclines into comfortable flat bed. Good quality pillow and duvet. Privacy with sliding door. Good storage space around the seat and charging point. Flights on time - no delays. Gluten free meals were very poor in quality and presentation. Warm processed meat between two bland slices of GF bread apparently is a business class breakfast. On two sectors the main course (no choice offered) was bland fish which was served in a single small tray covered with foil - in business class? Condensation had formed as the dish was reheated (probably from chilled) so the offering was sitting in a weak watery liquid. One crew member appeared genuinely apologetic as they meekly served one meal. Do BA also serve the same GF offering in economy, economy plus and first on a long haul flight? My advice if GF - take your own food or dine in the lounge if you are in the care of BA for 24 hours. My travelling companion had very good regular meals, or so they told me, with a choice of main course on the same flights. Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging. Usual hospitality industry waffle about service but little of substance delivered.",british airways
✅ Trip Verified ,Boeing 777,Business,Business Class,Lisbon to Houston via London Heathrow,November 2023,1.0,2.0,4.0,1.0,1.0,3.0,1,no,3," Absolutely pathetic business class product. BA is not even remotely competitive with other International airlines in the business class market. With old outdated 8 across seating - no, I did not make a typing mistake - you either have to climb across someone or someone has to climb across you to gain aisle access. The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats. BA, like most other European-based airlines does not have a factual Intra-European business class product even though they promote & sell business class. Intra-Europe flights feature the same 3+3 seating throughout the aircraft & the only difference being the middle seat is left empty in ""business class"" & passengers get a meal & drinks, but this does not justify the higher cost. BA's Trans-Atlantic business class product is only slightly better because of the ""narrow"" 8 across seating. The biggest surprise on both the LIS/LHR & LHR/IAH flights was that BA has, in fact, substantially improved their food quality. Shocking! Unfortunately, it is served in the WORST business class configurations of ANY International airline I have flown. The entertainment  system & small screens - my laptop screen is twice the size - is like an airline offering 2 decades ago. The flight crew was ""pleasant & perfunctory"" which is about the best one can expect from a BA crew. BA will simply never match the quality of carriers like Singapore, Emirates, Qatar, Etihad, EVA, ANA, Japan, Air New Zealand, Qantas or many others. BA can compete with US-based airlines like Delta, American & United, which are also not even in the same Universe in terms of a high-quality business class product. One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats, even though they have paid thousands of dollars to fly business class. Several hundred US dollars for Trans-Atlantic flights. Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost. Certainly another BA Management decision that was made without a functioning brain.",british airways
Not Verified ,A350,Solo Leisure,Premium Economy,Vancouver to London Heathrow ,December 2023,4.0,3.0,2.0,5.0,,5.0,2,no,6,"  Overall not bad. Staff look tired and overworked, trying their best. Weird seats, I was in 21G going, and 21D going home. The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work. There is another button, also very stiff, to bring the “leg rest” out. This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs, but just obstructs your feet really. Again, I had to get help to activate the very stiff buttons. At one point, the lady next to me was pressing the buttons for me while I tried to recline, sit up, or put the “leg rest” back. We gave up and called the flight attendant, who also had trouble. BA: please give this some maintenance! Food: only one out of three menu choices available by the time it got to me in Premium Ec. It was pasta and was not too bad. A Christmas Turkey Dinner was offered, but why not load more if it is so popular that it is not available 10 minutes into the meal service? “Breakfast” was an unidentified soggy pastry thing in a cardboard tube. It was disgusting, same offered on return journey. A cold pastry and fruit would be so much nicer. The tea and coffee was hot at least. Overall, I would say Air Canada provides a much superior Premium Ec service than BA. I won’t choose BA again.",british airways
✅ Trip Verified ,A329,Family Leisure,Business Class,London Heathrow to Stockholm,December 2023,4.0,5.0,5.0,,,5.0,5,yes,10," This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them. As we were connecting, we had little interaction with ground staff - staff in the lounge were friendly and helpful. Cabin crew on the flight were great - very welcoming and friendly. Our meals were delicious & no shortage of drinks being offered. The seats were economy seats with the middle row blocked off and some recline. We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm. Bags (checked in at JFK) were delivered safely within 20 mins of arriving.",british airways
✅ Trip Verified ,,Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow ,December 2023,1.0,1.0,,,,1.0,1,no,1," I recently encountered a highly disappointing experience with British Airways, specifically regarding their customer service. After my initial flight leg was canceled, I was rebooked with a connection at London Heathrow reduced to a mere 1 hour and 30 minutes. Realizing the impracticality of this, I promptly contacted British Airways within 10 minutes to request a more reasonable layover of 3-4 hours. Shockingly, the customer support representative flatly refused, citing an inability to change my flight. Despite explaining the logistical challenges of a short layover and a terminal change requiring additional security procedures, I received no assistance. To add to the frustration, the representative inaccurately noted on my account that I was presented with multiple options during our conversation. Moreover, the use of military time format and the lack of initial options provided only exacerbated the communication issues. Both phone and email support proved equally incompetent, and I was informed that customer service is outsourced to India, allegedly contributing to the subpar service. This experience has left me not only struggling to rebook my flight but also with a strong resolve to avoid British Airways in the future. The lack of assistance, blame-shifting, and overall incompetence in customer service make it my worst experience yet. I strongly advise others to steer clear of British Airways and their appalling customer service.",british airways
Not Verified ,,Family Leisure,Premium Economy,Cyprus to New York,December 2023,,,,,,1.0,1,no,1,"  Beware! BA don't provide any refund due to a very serious medical reason. My father was diagnosed with a severe heart defect a couple of weeks before his flight date and BA refused to give any refund as this was not a good enough reason!! We sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible, and the operator totally dismissed it. They said only thing they can do is change the travel date within a year. Heart surgery recovery takes months and it's highly unlikely that he will be able to travel within the year, meaning he would lose his ticket and money! They said they can't do anything to help, not even change the name on the ticket so someone else can use the tickets! The most ridiculous thing I've heard!",british airways
✅ Trip Verified ,A321,Solo Leisure,Business Class,Gran Canaria  to London Gatwick,December 2023,3.0,4.0,1.0,,,3.0,5,yes,6,"  Check in was chaotic and badly organised. Even though there were two desks, one for premium and one economy, there ended up being just one queue, in front of the premium check in, even though most passengers in it were economy. That meant that those travelling in club or with higher status had no separate queue to join. Whilst I was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers, unnecessarily badly organised, the staff in charge should be retrained! Security at the airport was very quick and through to the lounge. This is a generic airport lounge for all airlines, and it is actually quite good overall. Nice layout and seating options, reasonable food and drink options, and an outdoor terrace which is really nice. Boarding was very well organised, although quite slow to get everyone on board.. but the flight was probably only half full and we still departed early so I think they felt no rush.. and it actually made the boarding experience nicer and more relaxed. On board the club Europe seats are fine by European business standards, although as previously commented are really not very good overall.. the meal service was disappointing. As is normal, BA do not stock enough of the proper meal option .. when the options are so limited and varied in quality BA really should stock enough for everyone to have the good meal. Sadly they had run out by the time they got to me so I had the option of vegetarian sausage or a salad. I wanted a hot meal so went for the sausage and I can honestly say it was one of the most disgusting onboard meals I’ve ever had in any cabin class, rolling some mush (similar consistency to mashed potato) into a sausage shape does not make it a sausage! BA you need to improve the meal options, make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals .. then people will not be left with such a substandard alternative when their first choice runs out! Whilst I hadn’t planned on using it, the on board WiFi was not functioning so was not available to use. Overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient. I used avios to pay for the flight so it was obviously good value for money for me!",british airways
Not Verified ,A320/Boeing 777,Couple Leisure,Business Class,Belfast City to Atlanta via London Heathrow  ,November 2023,4.0,5.0,1.0,3.0,,5.0,5,yes,6," All 4 of our flights were fine in terms of comfort, punctuality and service. I feel safe with BA and that is my main reason for booking with them even though I could travel with other airlines more directly. On our return flight ATL/LHR we skipped the evening meal preferring to sleep and were looking forward to a hearty breakfast prior to arrival at LHR. Sadly we were seriously disappointed. To serve a chicken sausage in a wrap for a business class breakfast is just unacceptable. Does BA actually pay experts to design these breakfasts? Low point on an otherwise good trip.",british airways
cNot Verified ,Boeing 787-8,Business,Business Class,London to Portland,December 2023,3.0,3.0,4.0,3.0,,3.0,2,no,4,"  I had hoped this would be a good review but unfortunately it won’t be. I flew business class from LHR to PDX on the BA nonstop. It was a 787–8 series aircraft. The flight attendant specifically mentioned it was eight years old as he recalled flying it when it was brand new. The business class seats were abysmal. My seat was at the window facing backwards. With the divider down, which had to be in that position for boarding, taxi, takeoff and landing, I was literally just a few feet away from the person in the aisle seat who was facing forward, We both couldn’t help but stare at one another. It couldn’t be avoided. It was horrible. The service wasn’t all that good either. The flight attendant did a pre-dinner drink. When she came back to ask for my choice for dinner, she said none of my selection were left. I was a little upset as nothing else appealed to me. She then came back later, and said the other part of the aircraft had more of the meal selection I wanted. I’m not sure why they didn’t coordinate that to begin with. I was NOT offered any wine or other drink with with dinner. The meal was put down in front of me and the flight attendant never came back other than to clear the tray. Overall, this flight was not very good. I flew over on American and back on BA and paid $6000 round-trip. I’d fly American again. My preferred carrier is United or Lufthansa. I’ll never fly BA again.",british airways
✅ Trip Verified ,,Solo Leisure,Economy Class,London to Frankfurt,June 2023,1.0,,,,,1.0,1,no,1,"  I was going to fly to Frankfurt from Glasgow over London but the flight from London to Frankfurt was cancelled. This meant I had to stay overnight in London where I have no accommodation etc. As I was rebooked to a flight from London City airport which was more than 2h by train I had to get an uber and then take a hotel for £250 in total (London prices). I was reassured over the phone that I would get all the money back. My flight from London city airport was then cancelled again and rebooked to London Heathrow but two days later. I then cancelled that flight and rebooked a new one with Lufthansa as I urgently had to get to work and needed the money. I never received the money back for the hotel, compensation for cancelled flight 1, compensation for cancelled flight 2, the extra food I had to pay for, the uber, or the actual cost of the flight. I was first transferred 3€ by British Airways. They stopped replying to me and told me the issue was ""weather conditions"" although other non-BA flights were going. I lost over £700 in total and never got compensated for the loss of a work day either. It just really feels like they don't care about people. Worst service/airline ever.",british airways
✅ Trip Verified ,A350,Solo Leisure,Business Class,Cape Town to London Heathrow ,December 2023,5.0,4.0,5.0,5.0,1.0,5.0,4,yes,8," Much better experience this time around. Flew CPT to LHR on a new A350. Checkin was efficient. I used the Bidvest lounge at CPT as it is better than BA's lounge. Boarding was speedy. The new business class club suites are very good. Slightly irritating to be directed to the wrong seat (1A instead of 1K) which meant that after settling in the passenger in 1A showed up. We arranged a seat switch. Second time in a row it has happened. Why can't BA staff memorise which side of the plane is which and get it right? Captain's announcement was short and on point. Welcome drink was served at the correct temperature i.e. cold (first time ever for me - previously BA has always served the welcome champagne warm). IFE system was good - everything worked as it should. Felt slightly cheap that business class passengers have to pay for wifi. I did not bother. Cocktail was good. The nuts came on a cheap plastic tray which was naff ... other airlines bring out something classier. A female flight attendant came to take my order and I asked for Rooibas panacotta and the chicken breast. She repeated back to me ""so you want a P and a C"". It was such a bizarre thing to say that I misheard. I thought she said ""so you want beef and sea""? Confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying ""P"" for panacotta and ""C"" for chicken. But how bizarre to repeat back an order to a passenger in code. Why not just say, ""so to confirm panacotta to start and chicken as your main dish"", like every other restaurant / airline does in the world? The internal coding of food ordering is exactly that - internal. She even looked irritated at me that I did not understand her jargon first time. The food, when it came, was excellent. Much much better than recent flights. I read somewhere that BA changed caterer. If so, it shows. The panacotta was superb as was the chicken ... good restaurant quality. The wine was OK to good but definitely not good to excellent. I feel that while the food has got better in BA business class, the wines have got worse. Certainly compared to Air France which I have also flown recently. The wine was brought out on time (not afer I finished eating as it was lass time I flew BA business). Cheese was also good and not teeth crackingly cold as last time. I had a good night's sleep. Plenty of snacks out if you wanted them (and they did not run out). Breakfast was excellent and the coffee was hot (previously it has been lukewarm). So all in all a vastly improved service offering. The staff seemed rushed off their feet ... it would not hurt to have an extra flight attendant to look after so many business class seats. Overall summary: vastly improved passenger proposition. It would be 10/10 but I deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes.",british airways
✅ Trip Verified ,,Couple Leisure,Business Class,Miami to Manchester via Heathrow,December 2023,1.0,3.0,2.0,3.0,1.0,1.0,2,no,3," Once again a terrible business class experience with BA. The flight was delayed by 4.5 hours, The plane was very old with problems with at least 4 of the seats in business class not cleaned properly prior to departure. Food was terrible as always with BA and only one choice available from advertised menu. As a result of the delay we missed our connecting flight from Heathrow and instead of putting us on the next connection they chose the second last flight of the day - which was also delayed by over an hour meaning we had an additional 4 hour delay whilst at Heathrow. At no point were we advised about our compensation rights (despite asking at check in and connections) or provided any vouchers during the delays. Having flown Etihad, Qatar and Virgin business class equivalents over the last year it is clear to see how big the gulf now is between BA and its rivals. ",british airways
✅ Trip Verified ,A380,Solo Leisure,Economy Class,Johannesburg to London ,December 2023,2.0,4.0,2.0,2.0,,4.0,3,no,4,"  BA A380's are showing their age, hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours. Cabin crew were good and helpful. Dinner was ok but the breakfast was grim. On board entertainment was not the latest and seat back USB points didn't work. The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this, if you're prepared to lay over then there are better airlines out there.",british airways
✅ Trip Verified ,Boeing 777,Solo Leisure,Economy Class,London Heathrow to Singapore,December 2023,3.0,5.0,4.0,4.0,,4.0,5,yes,9,"   Credit to BA - Flew to Singapore recently and also back from Doha to London and both experiences were great. Service was fantastic as was the quality of the food, entertainment and was left feeling BA have got it together after a few previous below average experiences. You definitely notice the difference with the staff on BA - Far more approachable and outgoing compared to the cold and corporate middle eastern airline crews. Nice one BA for 2 great flights.",british airways
