Passenger Name,Review Date,Airline Name,Airline Average Rating,Cabin Flown,Passenger Overall Rating,Overall Value for Money,Seat and Cabin Space,Customer Service,In Flight Entertainment,Baggage Handling,Check-in Process,Meals and Beverages,Recommend Airline,Passenger Review Text
Stavros,"November 29, 2019",Aegean Airlines,6.2,Flew Economy Class,10.0,5,5,5,5,5,5,5,Yes,"One of the best airlines in Europe. Having traveled with most European airlines due to my occupation, Aegean simply delivers better services. Unlike established airlines that pretend not to be budget but are on the cheap side (for example check Lufthansa. The seats are similar to sitting on wood. Or a Lotus Elise.. not comfortable at all) or Budget airlines that feel like taking the bus somewhere in rural India, Aegean offers the average person, safety, comfort, food, and overall a pleasant, hassle free trip."
Marija,"March 19, 2019",Aegean Airlines,6.2,Flew Economy Class,1.0,0,0,0,0,,,0,Yes,"I have already read here, that someone had a similar problem. I wanted to change one letter in the name of the passenger (as my native language has some letters that do not exist in the English alphabet, and I was not provided the appropriate guide for these matters) and they wanted to charge an additional 90 euros for the ticket that cost 215 euros in the first place. I find this to be outrageous. For example, I had the same issue for the same trip only different destination with WIzzair, and I could do this change by myself online FOR FREE. I am not satisfied at all."
Ioannis,"October 1, 2018",Aegean Airlines,6.2,Flew Economy Class,2.0,2,4,2,0,,,1,No,"If you have any mobility issue just stay AWAY from this company. Really. They don’t allow you to wait sitted before you enter the plane if you pass the boarding, but there is no priority if you don’t have assistance in the ticket so you even if you are the last passenger to proceed at the gate you ll end up standing for a very long time until you arrive to your seat. Then they might ask you to climb the seats to sit next to a window for “your safety” after asking you out loud questions like what your problemis exactly and why you need a crutch, if you are injured or you have general problems etc. Most airlines allow you to keep medical items such as crutches somewhere close to you and if not, someone will give them to you quite early. In Aegean you take them back only if some passenger is kind enough to give them back to you and they will be scratched. If you are late to exit the plane, you might hear some comments about you. You might also hear the crew girls discuss their personal lifes from time to time during the trip. Finally, you might see some weird practices for example the low salt meal is served with salted crackers (2.3g of salt per 100g) so if you are supposed to avoid salt for medical reasons please make sure you have checked the ingredients…"
Dorothea,"May 8, 2018",Aegean Airlines,6.2,Flew Economy Class,1.0,1,0,1,0,,,0,No,"On the 12th of February I flew with Aegean Airlines from Tel Aviv to Munich. My checked in luggage was lost on the flight. Immediately after arrival in Munich, I notified the airline of my loss. I contacted the airline via Email and phone asking for help. However, I received little response from the customer service department. They said they were looking for my suitcase, but I am not sure whether they ever did. 45 days after my arrival I claimed compensation under the Montreal Convention. Now Aegean Airlines refuses to grant me such, stating, that I never checked in my suitcase, because I cannot provide them with a suitcase tag number. The fact that I didn’t receive a tag isn’t my own fault, but a mistake of the airline. After the dozens of Emails and giving a detailed description of my suitcase and of the items in it greatest disappointed is, that I am now treated as a fraud by the Aegean, who are trying to make it look like I am trying to claim false compensation. I cannot believe that Aegean, an airline I thought highly of, ignores its passenger’s rights."
Barbara,"September 21, 2017",Aegean Airlines,6.2,Flew Economy Class,5.0,3,4,5,0,,,5,Yes,"We had a problem with our flight at the beginning of our five week trip throughout Europe. As soon as we arrived home, I submitted a claim resulting from the problem. Aegean answered that they were under no obligation to resolve our problem because we did not submit our claim within the stipulated 21 days. While we submitted the claim within two days of getting home, it was well over the 21 days – we did not have the means to submit the claim while out of the country. Very disappointed that Aegean did not look at the big picture when sending this “canned” response!"
Foch,"October 15, 2022",Aer Lingus,4.6,Flew Economy Class,2.0,1,1,1,1,,3,1,No,"Where do I even start the rant from? The leg space in standard seats were designed for dwarfs I think. Staff is very unfriendly. Can’t count how many times I was woken up by staff and their trolleys hitting random body parts while sleeping (and it’s extremely hard for me to fall asleep on plane). They’re not there to ensure your comfort. They’re rude and feels like they do you a favour every time you ask for something. The food is a joke, my 12 year old can cook a better dinner, disgusting, gives you terrible gas. Do not choose this airline, there are much better ones, with free wi fi too. Thank you NOT aer lingus"
Nathan,"September 8, 2022",Aer Lingus,4.6,Flew Economy Class,1.0,1,0,1,0,,1,0,No,"I missed my flight from AMS Amsterdam to DUB Dublin because I could not get my boarding pass unless I stood in line at the Check-in/Ticket Counter. The real problems were the Kiosks available for passengers who can print their own boarding passes did not have the Aer Lingus app and there was only ONE PERSON at the Check-in/Ticket Counter, with a line of passengers that was very long, and I had arrived nearly 3 hours before my flight was scheduled to depart. I missed my flight, came back to the Check-in/Ticket Counter and there was no one there. Aer Lingus basically made me miss my flight then abandoned me at an airport in a foreign country. Two AMS representatives got me over to SwissPort which is affiliated with Aer Lingus. SwissPort got me on another flight to get home to LAX Los Angeles. I was on my feet for 8 hours during this whole ordeal and got home very late. I found out later that Aer Lingus has a reputation for passengers missing flights, small staff of employees at many locations, and NOT GIVING A DAMN about their passengers. I strongly advise: Stay away from Aer Lingus!"
Nathan,"September 8, 2022",Aer Lingus,4.6,Flew Economy Class,1.0,1,1,5,0,,1,3,No,"I missed my flight from AMS in Amsterdam to DUB Dublin because I could not get my boarding pass unless I stood in line at the Check-in/Ticket Counter. The real problems were the Kiosks available for passengers who can print their own boarding passes did not have the Aer Lingus app and there was only ONE PERSON at the Check-in/Ticket Counter, with a line of passengers that was very long, and I had arrived nearly 3 hours before my flight was scheduled to depart. I missed my flight, came back to the Check-in/Ticket Counter and there was no one there. Aer Lingus basically made me miss my flight then abandoned me at an airport in a foreign country. Two AMS representatives got me over to SwissPort which is affiliated with Aer Lingus. SwissPort got me on another flight to get home to LAX Los Angeles. I was on my feet for 8 hours during this whole ordeal. I found out later that Aer Lingus has a reputation for passengers missing flights, small staff of employees at many locations, and NOT GIVING A DAMN about their passengers. I strongly advise: Stay away from Aer Lingus!"
Anjy,"June 21, 2022",Aer Lingus,4.6,Flew Economy Class,1.0,1,0,0,2,1,1,1,No,"I flew two weeks ago, and my bag never arrived. This has never happened to me with any other airline, and I have travelled with many from BA and Emirates to Ryanair (another Irish airline)."
Matthew,"July 8, 2021",Aer Lingus,4.6,Flew Economy Class,1.0,1,0,1,0,,,0,No,"They offered a steal of a deal during the pandemic. I knew I was gambling on most of the ticket fee, since it wasn’t refundable, and I ended up having to cancel because hotels weren’t open in Dublin at the time. They still owed me the $80 refund of the government fee."
Viktoria,"August 27, 2019",Aer Lingus,4.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,"Although there was a huge queue for the passport control at Amsterdam Airport and had to spend 45 minutes in security lines, I managed to get to the gate 15 minutes before departure time, but the assistant didn’t let me on board, as the door was already closed even though people were stuck at airport control. They ruined my birthday weekend with my family. Totally inhuman treatment and they refuse to give any refund, the customer service is not available during weekends and during weekdays after 20 minutes waiting time they hang up if they receive a complaint. WORST company ever!!!"
CHANTAL,"June 27, 2019",Aer Lingus,4.6,Flew Economy Class,1.0,1,0,1,0,1,1,0,No,Aer lingus you are the worst air line I have ever dealt with and should be embarrassed of your customer service.Not only is your airport lounge pathetic but you guys lost my luggage and nobody appears to take accountability. I been missing my luggage for the past 10 days called several times(DUBEI54186). Wasting money and time. Just to be lied to and been accused of lying which makes me extremely angry. Was promised that my luggage would be delivered on Saturday(22.06). Was promised three supervisor call backs and nobody feels responsible. also the airport lounge is terrible. Don´t go there. Waste of money!!
Michele,"April 7, 2019",Aer Lingus,4.6,Flew Economy Class,10.0,5,5,5,5,,5,5,Yes,"Extraordinary! I was one of the thousands that had been stranded by WOW airlines abroad. A lot of articles suggested Icelandair, they had you open a case, send all your personal information to prove you had paid already & told you to call to get a discounted rate as a rescue fair (the fair provided to me would have caused me to miss my flight within the states back home and been more than I could purchase for a normal flight on the open market through other carriers). I called Aer Lingus (https://www.aerlingus.com/html/home.html) and asked if they were giving discounted rates, they were sympathetic, got me on a flight I needed not to miss my instate flight back home and gave me a discount with out jumping through hoops. They really were there for the stranded Americans abroad. And, I flew on 4 different carriers during my travel trip abroad and they were absolutely the BEST! I had a very comfortable almost 8hour flight from Dublin Airport to Newark International Airport. I highly recommend this carrier! Go Aer Lingus!"
Breandan,"March 9, 2019",Aer Lingus,4.6,Flew Economy Class,1.0,1,3,1,2,3,1,2,No,"Booked return flights from Dublin (DUB) to Denver, via Chicago (ORD) with Aer Lingus. Flew Aer Lingus Dublin-Chicago and partner airline (UA) for internal US flights. On arrival in ORD, T5, had to transfer to T1  (monorail out of service, bus transfer only) but on arrival in T1 was informed that my connecting flight had been cancelled – no warning, no email, no text, nothing! Very friendly UA staff had no other flight to offer but arranged alternative  AA flight for me much later that evening, but now had to go to T3!! Turns out, our bags got to Denver 3 or 4 hours before we did – how did that happen?!?!! When returning home, the ORD to DUB flight was delayed 4 hours, again, no contact from Aer Lingus, no explanation. I wrote to Aer Lingus (both email and post) 7 times – not as much as an acknowledgement, no explanation, no apology and absolutely no compensation! Dreadful service."
David,"September 10, 2018",Aer Lingus,4.6,Flew Economy Class,1.0,2,4,3,0,,,0,No,"The check in and flight itself was good. On time and reasonable. I am a cyclist and scientist and traveling for conference and training. I booked and paid for a bicycle. However, on return my bicycle carry box was damaged externally. I have had no offer of acceptance/not of liability, letter etc. When home (Glasgow), the bike frame had be damaged, which would have required a heavy force e.g. dropped form back of plane, heavy baggage dumped on top etc. The frame was unridable and needed replacing. I fly about 40 flights a year and have done for over 5 years with bike in this format with zero issues (mainly Air New Zealand and other Star Alliance carriers). OK. so occasionally some handling error may occur, this is life. However, I called, wrote, filled out online forms as recommended by AerLIngus. Replies were short and noted “please wait out team is reviewing it”. I followed up 9 times over 2 months and still no response. I have now moved to my travel insurer for recovery of damage costs. Aer Lingus’ baggage-ralated customer services is appalling 0.5 out of 10. It left a very sour taste and I would not travel Aer Lingus again nor can recommend this airline. If you do value your baggage and must travel with this poor airline, ensure you have it fully insured. reading other comments here, the airline has a baggage handling issue to sort out. Cheers."
Emily,"June 1, 2018",Aer Lingus,4.6,Flew Economy Class,1.0,1,2,1,2,,,2,No,"This was my first time flying with Aer Lingus. I have flown on many airlines all over the world and this flight was one of the worst flights have ever experienced. On both legs of the flight the staff were rude, and on my first leg of the flight the plane itself was obviously not well maintained. It was dirty, my seat did not recline, and weirdest of all there was a gaping hole in between my seat and the window – which dropped down into the pit of the plane. If you make the mistake of falling asleep and your phone dropping from your lap to the floor as I did, you can lose your phone into the gaping hole in the airplane. I tried calling their customer service to explain the situation and they all spoke to me like I was an idiot and just repeated that they were not responsible for my lost property, then finally directed me toward an online lost item submission form…which yielded the same answer. I recommend avoiding this airline at all costs."
Navya,"May 31, 2018",Aer Lingus,4.6,Flew Economy Class,1.0,1,2,2,2,,,2,No,"I fly 3+ times a year internationally and this was my first time flying Aer Lingus. The transatlantic flight from Seattle to Dublin was delayed, awfully dirty and the seats wouldn’t recline. The staff was impolite. The domestic flight from Dublin to Birmingham was worse; the management was a mess. As I was getting through security, the airline updated the monitors that the flight had left, whereas they hadn’t even started boarding. Thee were always unaccessible whenever I reached out. This flight was cheap and the food (on the transatlantic carrier only) was good but the pros are not worth the hassle. I would recommend finding a better airline. Their organization is a mess and they are unreliable. You get what you pay for. If you do decide to fly through them, get travel insurance and cover your bases. Good luck!"
Kathy,"January 25, 2018",Aer Lingus,4.6,Flew Economy Class,1.0,3,1,1,3,,,2,No,"Don’t fly with them if you can avoid it. Horrible experience with Aer Lingus. I have flown with them 4x and the first 3 were great. I noticed a decline in their service and appearance of the plane. The plane was dirty and old, and the attendants were snooty and could hardly bother themselves to help you. My trip that I was planning for 6 mos with my daughters was cut short by a day because my flight was cancelled due to mechanical errors. We were able to get on a flight for the next day, but I lost $400 on hotel rooms for the night we lost. And they will do nothing about it. They rejected my claims. So you will be taking a chance on anything pre-paid and your flight does not take off when it was scheduled"
Paddy,"January 19, 2018",Aer Lingus,4.6,Flew Economy Class,10.0,5,5,5,0,,,4,Yes,"Flight from Dublin to Las Palmas, Gran Canaria, Dec 2017. Excellent staff, my wife suffers from tinnitus , staff moved us to area of low engine noise. Constant attention and care through out the flight. Will fly Aer Lingus again."
Joseph,"December 1, 2017",Aer Lingus,4.6,Flew Economy Class,8.0,2,2,1,3,,,2,No,"My wife and I had paid in advance for window seats to and from Dublin. Upon leaving to come back to the US, we were seated in the middle. Crying kids in front of us and beside us. I had picked up toys being tossed by kids, bottles rolling on the floor.. We had no sleep on our return to the US. The stewardess were not at all helpful in making even an attempt to reseat my wife and I. I’ve contacted Customer Care of Aer LIngus several times with only a message saying that we will contact you shortly! Well, shortly has been nearly two months later. It was a Great flight and loved Ireland.. We did not get what we had paid for…. No help from the stewardess and even making an attempt to reseat us/or even compensate us.. The Customer Care doesn’t even care about our issue’s. I’ve requested their corporate address/email..phone number..but as usual no one has made any contact! I DOUBT that I would ever choose this air line to travel back to Ireland… Very DISAPPOINTED with you Aer Lingus. Lets see how long it takes now to hear from someone…."
Eddy,"April 14, 2020",Aero Contractors,5.3,Flew Economy Class,5.0,4,4,0,3,5,5,0,Yes,Aero need to up their game they should do a benchmark which i think that would help them http://recruitmentupdate.com.ng/aero-contractors-recruitment-2020-a-detailed-guide/(opens in a new tab)
S,"May 27, 2014",Aero Contractors,5.3,Flew Economy,5.0,3,3,3,0,,,2,No,Was travelling from Lagos to Abuja and half of the planes luggage was left in Lagos with no explanation or compensation offered to the passengers. Had to wait an extra 4 hours for another plane to bring our bags which is not only inconvenient but also a security risk. Horrible airline.
M,"July 3, 2013",Aero Contractors,5.3,Flew Economy,6.0,3,3,3,0,,,0,No,"2 x Flights so far, Lagos to Port Harcourt & return 6 weeks later. Aircraft =  Boeing 737s, in Ok condition considering age. Seats ok for the short haul flight of 1 1/4 hour. Service was ok but as extensive as you would expect on such a short flight. Ground services are what really let this down, the Terminal in Lagos & PHC are quite poor then the walking across tarmac to mobile steps that are not the best, in all weather."
Aero,"March 4, 2023",Aeroflot,4.1,Flew Economy Class,5.0,3,3,3,3,3,3,3,Yes,"On 21.01.23 there were two departures from Bangkok by Aeroflot, at 11:30 and 13:35. Aeroflot didn’t get the right number of passengers for 2 flights, and they decided to save money. The way I see it, in that situation they should have warned the passengers at least 24 hours before departure that everyone was flying at 1:35 pm and departed at 1:35 pm. What actually happened? Better fly in Aviator with a chance to win money https://aviatorplaygame.com/"
James,"November 2, 2022",Aeroflot,4.1,Flew Economy Class,10.0,4,4,4,4,4,4,4,Yes,I was on this airline a month ago. A perfect airlines to travel. Highly recommended.
BARBARA,"January 8, 2020",Aeroflot,4.1,Flew Economy Class,7.0,4,3,4,3,4,2,3,Yes,"L’aereo usato per i voi Milano-Mosca ha parecchio spazio per le gambe e un buon cibo. Non c’è lo schermo per l’intrattenimento ma in complesso lo consiglio. Sulla tratta Mosca-Phuket invece c’è pochissimo spazio per le gambe l’intrattenimento è  sufficiente e il cibo passabile. Riguardo al personale del check in, a parte a Milano sono scortesi e per niente orientato alla soddisfazione del cliente"
mariya,"January 4, 2020",Aeroflot,4.1,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,"When my dad passed away, he wanted to be buried in his home city – Saint-Petersburg. After a consultation with Aeroflot and Russian Embassy, we understood that in order to travel with funeral urn, we need to collect, translate and legalize few documents. When  I arrived at Sheremetyevo airport on 11.12.2019,I asked once again the representatives of Aeroflot, if I can travel further and is everything all right. They told me that all the documents are correct. On 12.12.2019  I arrived in Vnukovo airport. At the registration desk, the representative of Aeroflot/Russian airlines told me, that I am not allowed to travel with the urn and that is company policy. I told her, that I collected all the required documents and that I traveled from Sofia to Moscow with Aeroflot and with funeral urn in my luggage.They didn’t know the company policy at all. After a 10 minute call, they told me, that I can transport the urn with cargo but not on the plane, but if I do so, I will miss the plane, so the best  I can do is to buy a ticket for their next flight."
Irina,"December 21, 2019",Aeroflot,4.1,Flew Economy Class,10.0,5,5,5,5,5,5,5,Yes,"Always the best price for tickets, very friendly and helpful staff, very good food service and entertainment"
Victoria,"August 30, 2019",Aeroflot,4.1,Flew Economy Class,1.0,0,0,0,0,,,0,No,"I have never traveled with such an unprofessional airline. Did not reach the other flight. A lot of other passengers had the same problem and there was a very long queue where you had to stand for about 100 minutes before getting help since they had only staffed two people. The staff cant communticate in English. It seems that all those employed by this airline hate their lives, they are on their cell phones rather than coming up with menus when you sit down at the restaurants, they do not smile at all and show that they are not interested in providing good customer care. We have never experienced vare the like ever. We have met at least 30 people who say they will never travel with this airline again. HR has failed miserably on which staff are employed in the company, and it is clear that it is control-based / financial-based HR, rather than a commitment-based HR."
Fabienne,"July 20, 2019",Aeroflot,4.1,Flew Premium Economy Class,2.0,1,2,1,2,1,3,2,No,First flight was a connecting flight from zurich to moscow sheremetievo and then to tolyo narita.our flight started more than 1 hour later without explanation in english. We missed the second föight and waited for them to find a solution for at least an hour. Then we had to run through the airport in 7 minutes to catch a flight to peking. In peking no one could speak english or did understand what our problem was. We had to change glight and had to stop additionally in shanghai. Everxtime with check in and security. No one told us about the second stop. At last in tokyo our luggage was missing. On our flight back they lost our luggage again. Never again.
Musicland,"July 7, 2019",Aeroflot,4.1,Flew Economy Class,1.0,1,1,1,1,1,1,1,Yes,"Aeroflot deceived its customers! 1. Flight SU 291 Hanoi – Moscow Sheremetyevo (HAN-SVO) at 10:45 on 06 Apr 2019 was delayed until  14:16,. This resulted in the cancellation of my second Moscow – Paris CDG flight (A ticketed by Aeroflot SU2460 – departure at 19:35 the same day April 6) and led to my cancellation of Paris CDG. 2. Through the SU291, I have arrived to Moscow Sheremetyevo about 20:00 Moscow time (6 April). After an hour of waiting in line (there were a lot of cases of passengers like me, about 150 passengers), the officer Aeroflot told me that I needed to wait until 22:00 to meet another staff who will give me the hotel voucher to sleep overnight. – 22:00 Aeroflot: come back here at 23:00, we will answer! – 23:00:Aeroflot: we are waiting confirm-invitation from Hotel! Wait until 24:00! – 24:00: Aeroflot did not receive any invitation from Hotel, we have not any  more information!"
Michael,"June 26, 2019",Aeroflot,4.1,Flew Economy Class,1.0,1,0,1,0,,1,0,No,"My wife and son flew Aeroflot with a connection through Sheremyetova, Aeroflot’s central hub. The flight from Almaty touched down in Moscow on time, but passengers had to wait 20 minutes on the plane for the terminal bus, and then for all passengers to disembark. The stewardess assured my wife that if the connecting flight was missed, “they will give you seats on the next flight.” By the time my wife and son cleared the security check, the boarding gate for their flight to JFK had already closed. Aeroflot desk agents told my wife that the missed connection was her fault and she would have to pay full fare for the onward journey, more than $1,700! Many other people were in the same situation. A little old Russian lady tells an agent, “I can’t pay, I don’t have any money, I spent all my pension on the first ticket.” The Aeroflot agent responds, “Don’t you have any relatives you can call that could pay for your ticket?”"
Inas,"June 5, 2019",Aeroflot,4.1,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,"Never use this company! ame, horrible lost my luggages, you are shame. And you just tell me to wait! Shame on you, never ever fly with aeroflot, probably worst service and costumer service in the world"
Lusine,"April 21, 2019",Aeroflot,4.1,Flew Economy Class,1.0,1,4,1,3,1,1,2,No,"This review is specifically about a check in employee of Aeroflot. My parents (both in their 70’s) and I had shopped in the airport and had a few bags in hand. Understandably, we were asked to consolidate the bags so that each of us had 2 bags. We obliged, meeting both weight requirements and having our bags fit inside the sample box of the acceptable hand bag items. She seemed to have a personal vengeance making us go back and forth twice to the weighing table even though another employee had already done so. She even brought out a measuring tape. Each item was under 5 pounds. I had a plastic bag with clothing and she made me further consolidate because the height was a millimeter above the height requirement. She was so incredibly harsh with our bags that she ripped the handles off of a recyclable bag I had in addition to ripping in its entirety a plastic bag I had with items purchased in the airport. Another male employee was supporting me and even taking photos to share back with management.  I will never fly this airline ever again."
MICHELLE,"January 16, 2019",Aeroflot,4.1,Flew Economy Class,1.0,1,1,1,1,,,1,No,"My daughter flew with Aeroflot and due to horrendous queues at passport check and security, a connecting flight was missed along with 100’s of other people. She alerted airport staff at security check and was told to push to the front. Other passengers pushed her back shouting that they too were about to miss their flights. WIFI is almost impossible to use at Moscow, so without communications she was understandably very upset to have missed her flight. The staff at the airport were extremely rude and unhelpful telling her it was her fault that she missed the connection, however with hundreds of other people all missing connecting flights it would appear not. She had to queue for another hour just to talk to customer service…… With no other options, we had to book her another ticket at considerable expense and then told that her return flight was invalid, due to her missing the connecting flight. So yet another expense booking her flight home. One of the busiest times of the year, you can imagine how much money we have spent on these flights. Response from customer service took exactly 1 month. A long winded message to say, she checked in at Heathrow accepting the transit time and ticket conditions, so there is nothing they will do. I have posted on local facebook pages asking if anyone has had the same issue. It’s remarkable how many people have faced the exact same problem and even more who have lost or had their baggage damaged. I even had people respond who had been on other flights transiting at the same time and told me of the chaos. My advise is to avoid this airline at all cost!"
Varun,"January 3, 2019",Aeroflot,4.1,Flew Economy Class,2.0,1,1,1,1,,,1,No,"The flight was the worst experience of my life. Aircraft – old and small Food – pathetic (wont even serve my pet dog) Inflight staff – rude and has no knowledge. Gives wrong information Flight – the original flight was delayed by the company and due to ehich our connecting flight to delhi was missed by merely 10mins. The company could moy hold the flight, gave next flight which was after 24 hours, provided no accommodation, spent the night at airport and the staff had no solution to the problems Airplane – old aircraft, torn seats, pathetic infight entertainment, no alcohole,"
Cristina,"December 27, 2018",Aeroflot,4.1,Flew Business Class,1.0,1,1,1,1,,,1,No,"We flight all family (5people) from Jakarta to Alicante to visit our family for Christmas. In each stop we need to wait hours to get the boarding pass. They didn’t give us in Jakarta. After that, our luggage has never arrived and we still waiting. We are in winter and we have nothing to wear and is Christmas time, a lot of shops are closed We are desperate and no one is doing anything. We pay a business ticket for nothing"
rinkoo,"September 20, 2018",Aeroflot,4.1,Flew Economy Class,1.0,1,1,1,1,,,1,No,"Iam running my own travel agency, i tried this airlines for my passengers to sell your airlines with confidently. But now i will not recommend my passengers and as well as my other travel agents, friends and family. this not worth airlines to travel, Inflight services are not good and as well food quality is very low. In case of luggage, If you lost /delay/damaged luggage then after that services are very poor, staff is very rude and non-cooperative. There staff thinks that they owned the airlines and treat passengers as they are nothing in front of them and treat them very badly. Specially the lady sitting in lost/damaged baggage counter Ms Shweta"
tom,"June 23, 2017",Aerogaviota,1.0,Flew Economy,1.0,2,3,0,0,,,2,No,"Aerogabiota has to be the least reliable, worst informed airline I have ever been on. I have traveled in and around central and South America for over 8 years. I have experienced the worst and the best of flying in this part of the world. I live in Kingston jamaica. We arrived three hours early for our first flight as advised, only to wait three hours until any information appeared. No one in Kingston really knew of the flight. It was only by chance we met with two people who we knew were taking the same flight and had to make decisions together. In Cuba however there is not just one terminal, there are 5. No one really knew which terminal we had to go to. An hour of different people telling us to go to different terminals, led us to find again by chance the flight written on the electronic board, something which never happened in Kingston. It is like catching a bus with  no timetable, no idea of when or where it was departing and all around you people telling you different things or fellow flyers with similar experiences. What a nightmare. Finally managed to board only for the man who initially told us that this was the wrong terminal to be the one who was checking us in. What a j"
Kimberly,"September 1, 2020",Aerolineas Argentinas,5.5,Flew Business Class,1.0,1,1,2,3,4,5,1,No,"Avoid this airline. Horrible service, old airplanes, uncomfortable business seats, poor cleanliness, not motivated staff. I had sworn off this airline but had to fly them again recently due to no other choice, but I will not fly again with them. Only the check in staff was very kind and helpful. It should be a national embarrassment."
Lucas,"December 20, 2018",Aerolineas Argentinas,5.5,Flew Economy Class,10.0,5,5,4,3,,,3,Yes,Pretty good to be a comercial airline
Joel,"July 22, 2017",Aerolineas Argentinas,5.5,Flew Economy,1.0,0,2,1,2,,,1,No,"I recently flew in to Argentina with this crapy airline , all i can say is that No one should ever use it , i didnt get answered when i called up the Stewart ,very bad attitude, And i had it on my way home to new york too ,which means that it wasnt just that particular flight, tgat was bad …"
Monserrat,"April 28, 2017",Aerolineas Argentinas,5.5,Flew Economy,10.0,3,5,4,5,,,5,Yes,Excelent service. The flight was comfortable and the entertainment screens were great for such a short trip.
