Airline Name,Review Link,Number of Reviews
American Airlines,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-American-Airlines,"78,224 reviews"
ANA (All Nippon Airways),https://www.tripadvisor.com/Airline_Review-d8729021-Reviews-ANA-All-Nippon-Airways,"10,523 reviews"
AnadoluJet,https://www.tripadvisor.com/Airline_Review-d8729208-Reviews-AnadoluJet,865 reviews
Andes Lineas Aereas,https://www.tripadvisor.com/Airline_Review-d12665305-Reviews-Andes-Lineas-Aereas,860 reviews
Angara Airlines,https://www.tripadvisor.com/Airline_Review-d12280235-Reviews-Angara-Airlines,15 reviews
Anguilla Air Services,https://www.tripadvisor.com/Airline_Review-d12124796-Reviews-Anguilla-Air-Services,112 reviews
Ariana Afghan Airlines,https://www.tripadvisor.com/Airline_Review-d8729022-Reviews-Ariana-Afghan-Airlines,8 reviews
Arik Air,https://www.tripadvisor.com/Airline_Review-d8728955-Reviews-Arik-Air,120 reviews
Arkia Israel Airlines,https://www.tripadvisor.com/Airline_Review-d8729023-Reviews-Arkia-Israel-Airlines,892 reviews
Aruba Airlines,https://www.tripadvisor.com/Airline_Review-d12280236-Reviews-Aruba-Airlines,129 reviews
Aserca Airlines (no longer operating),https://www.tripadvisor.com/Airline_Review-d8728877-Reviews-Aserca-Airlines-No-Longer-Operating,73 reviews
Asia Atlantic Airlines,https://www.tripadvisor.com/Airline_Review-d13804005-Reviews-Asia-Atlantic-Airlines,8 reviews
Asiana Airlines,https://www.tripadvisor.com/Airline_Review-d8729024-Reviews-Asiana-Airlines,"3,673 reviews"
ASKY Airlines,https://www.tripadvisor.com/Airline_Review-d12280239-Reviews-ASKY-Airlines,119 reviews
ASL France,https://www.tripadvisor.com/Airline_Review-d12124799-Reviews-ASL-France,622 reviews
Astra Airlines,https://www.tripadvisor.com/Airline_Review-d10816890-Reviews-Astra-Airlines,236 reviews
ATA Airlines (Iran),https://www.tripadvisor.com/Airline_Review-d10823591-Reviews-ATA-Airlines-Iran,57 reviews
Atlantic Airways,https://www.tripadvisor.com/Airline_Review-d8729025-Reviews-Atlantic-Airways,262 reviews
Atlas Air,https://www.tripadvisor.com/Airline_Review-d8729026-Reviews-Atlas-Air,81 reviews
Austral Lineas Aereas,https://www.tripadvisor.com/Airline_Review-d10823586-Reviews-Austral-Lineas-Aereas,210 reviews
Austrian Airlines,https://www.tripadvisor.com/Airline_Review-d8729027-Reviews-Austrian-Airlines,"9,283 reviews"
Avianca,https://www.tripadvisor.com/Airline_Review-d8729028-Reviews-Avianca,"20,582 reviews"
Avior Airlines,https://www.tripadvisor.com/Airline_Review-d11831110-Reviews-Avior-Airlines,211 reviews
Azerbaijan Airlines,https://www.tripadvisor.com/Airline_Review-d8729029-Reviews-Azerbaijan-Airlines,641 reviews
Azimuth,https://www.tripadvisor.com/Airline_Review-d13150559-Reviews-Azimuth,303 reviews
Aztec Airways,https://www.tripadvisor.com/Airline_Review-d10533094-Reviews-Aztec-Airways,11 reviews
Azul,https://www.tripadvisor.com/Airline_Review-d8728972-Reviews-Azul,"18,062 reviews"
Azur Air,https://www.tripadvisor.com/Airline_Review-d13150560-Reviews-Azur-Air,"2,003 reviews"
Bahamasair,https://www.tripadvisor.com/Airline_Review-d8729030-Reviews-Bahamasair,612 reviews
Bamboo Airways,https://www.tripadvisor.com/Airline_Review-d17550096-Reviews-Bamboo-Airways,409 reviews
Bangkok Airways,https://www.tripadvisor.com/Airline_Review-d8729031-Reviews-Bangkok-Airways,"4,748 reviews"
Bassaka Air,https://www.tripadvisor.com/Airline_Review-d10816874-Reviews-Bassaka-Air,95 reviews
Batik Air,https://www.tripadvisor.com/Airline_Review-d10661150-Reviews-Batik-Air,"1,575 reviews"
Bayon Airlines,https://www.tripadvisor.com/Airline_Review-d10816888-Reviews-Bayon-Airlines,37 reviews
Bearskin Airlines,https://www.tripadvisor.com/Airline_Review-d8728904-Reviews-Bearskin-Airlines,15 reviews
Beijing Capital Airlines,https://www.tripadvisor.com/Airline_Review-d8729196-Reviews-Beijing-Capital-Airlines,103 reviews
Bek Air,https://www.tripadvisor.com/Airline_Review-d12976995-Reviews-Bek-Air,27 reviews
Belavia Belarusian Airlines,https://www.tripadvisor.com/Airline_Review-d8729032-Reviews-Belavia-Belarusian-Airlines,"1,248 reviews"
BH Air,https://www.tripadvisor.com/Airline_Review-d17550097-Reviews-BH-Air,31 reviews
Bhutan Airlines,https://www.tripadvisor.com/Airline_Review-d8728983-Reviews-Bhutan-Airlines,153 reviews
Biman Bangladesh Airlines,https://www.tripadvisor.com/Airline_Review-d8729033-Reviews-Biman-Bangladesh-Airlines,419 reviews
Binter,https://www.tripadvisor.com/Airline_Review-d8729034-Reviews-Binter,"1,185 reviews"
Blue Air,https://www.tripadvisor.com/Airline_Review-d8729035-Reviews-Blue-Air,"3,753 reviews"
Blue Islands Air,https://www.tripadvisor.com/Airline_Review-d8729036-Reviews-Blue-Islands-Air,176 reviews
Blue Panorama Airlines,https://www.tripadvisor.com/Airline_Review-d8729037-Reviews-Blue-Panorama-Airlines,"3,978 reviews"
Boliviana de Aviacion,https://www.tripadvisor.com/Airline_Review-d10661142-Reviews-Boliviana-De-Aviacion,517 reviews
Borajet [no longer operating],https://www.tripadvisor.com/Airline_Review-d10823595-Reviews-Borajet-No-Longer-Operating,33 reviews
Boutique Air,https://www.tripadvisor.com/Airline_Review-d12878329-Reviews-Boutique-Air,288 reviews
BRA (Braathens Regional Airways AB),https://www.tripadvisor.com/Airline_Review-d10533100-Reviews-BRA-Braathens-Regional-Airways-AB,272 reviews
British Airways,https://www.tripadvisor.com/Airline_Review-d8729039-Reviews-British-Airways,"59,084 reviews"
Brussels Airlines,https://www.tripadvisor.com/Airline_Review-d8729040-Reviews-Brussels-Airlines,"8,172 reviews"
Buddha Air,https://www.tripadvisor.com/Airline_Review-d8729191-Reviews-Buddha-Air,215 reviews
Bulgaria Air,https://www.tripadvisor.com/Airline_Review-d8729041-Reviews-Bulgaria-Air,"1,019 reviews"
Buta Airways,https://www.tripadvisor.com/Airline_Review-d13635956-Reviews-Buta-Airways,171 reviews
Cabo Verde Airlines,https://www.tripadvisor.com/Airline_Review-d8729162-Reviews-Cabo-Verde-Airlines,672 reviews
Calafia Airlines,https://www.tripadvisor.com/Airline_Review-d11831126-Reviews-Calafia-Airlines,151 reviews
CalmAir International,https://www.tripadvisor.com/Airline_Review-d8728878-Reviews-CalmAir-International,28 reviews
Cambodia Angkor Air,https://www.tripadvisor.com/Airline_Review-d10533106-Reviews-Cambodia-Angkor-Air,961 reviews
Canadian North,https://www.tripadvisor.com/Airline_Review-d8728879-Reviews-Canadian-North,74 reviews
Canaryfly,https://www.tripadvisor.com/Airline_Review-d10816892-Reviews-Canaryfly,242 reviews
Cape Air,https://www.tripadvisor.com/Airline_Review-d8729044-Reviews-Cape-Air,379 reviews
Caribbean Airlines,https://www.tripadvisor.com/Airline_Review-d8728962-Reviews-Caribbean-Airlines,906 reviews
Caspian Airlines,https://www.tripadvisor.com/Airline_Review-d8729045-Reviews-Caspian-Airlines,38 reviews
Cathay Dragon (Dragonair),https://www.tripadvisor.com/Airline_Review-d8729063-Reviews-Cathay-Dragon-Dragonair,"1,708 reviews"
Cathay Pacific,https://www.tripadvisor.com/Airline_Review-d8729046-Reviews-Cathay-Pacific,"16,725 reviews"
Cayman Airways,https://www.tripadvisor.com/Airline_Review-d8729047-Reviews-Cayman-Airways,363 reviews
Cebu Pacific Air,https://www.tripadvisor.com/Airline_Review-d8729048-Reviews-Cebu-Pacific-Air,"4,074 reviews"
CemAir,https://www.tripadvisor.com/Airline_Review-d8728964-Reviews-CemAir,348 reviews
Central Mountain Air,https://www.tripadvisor.com/Airline_Review-d8728911-Reviews-Central-Mountain-Air,63 reviews
Chair Airlines,https://www.tripadvisor.com/Airline_Review-d17213154-Reviews-Chair-Airlines,279 reviews
Cham Wings,https://www.tripadvisor.com/Airline_Review-d12878336-Reviews-Cham-Wings,18 reviews
Chengdu Airlines,https://www.tripadvisor.com/Airline_Review-d8729197-Reviews-Chengdu-Airlines,12 reviews
China Airlines,https://www.tripadvisor.com/Airline_Review-d8729049-Reviews-China-Airlines,"4,263 reviews"
China Eastern Airlines,https://www.tripadvisor.com/Airline_Review-d8729050-Reviews-China-Eastern-Airlines,"5,153 reviews"
China Express Airlines,https://www.tripadvisor.com/Airline_Review-d8728957-Reviews-China-Express-Airlines,4 reviews
China Southern Airlines,https://www.tripadvisor.com/Airline_Review-d8729051-Reviews-China-Southern-Airlines,"4,989 reviews"
China United Airlines,https://www.tripadvisor.com/Airline_Review-d8729198-Reviews-China-United-Airlines,29 reviews
Chongqing Airlines,https://www.tripadvisor.com/Airline_Review-d8729052-Reviews-Chongqing-Airlines,9 reviews
Cinnamon Air,https://www.tripadvisor.com/Airline_Review-d11831101-Reviews-Cinnamon-Air,28 reviews
Citilink,https://www.tripadvisor.com/Airline_Review-d10661151-Reviews-Citilink,"1,192 reviews"
CityJet,https://www.tripadvisor.com/Airline_Review-d8729053-Reviews-CityJet,421 reviews
Citywing [no longer operating],https://www.tripadvisor.com/Airline_Review-d10816882-Reviews-Citywing-No-Longer-Operating,11 reviews
CM Airlines,https://www.tripadvisor.com/Airline_Review-d10661143-Reviews-CM-Airlines,44 reviews
Cobalt [no longer operating],https://www.tripadvisor.com/Airline_Review-d10816876-Reviews-Cobalt-No-Longer-Operating,499 reviews
Corendon Airlines,https://www.tripadvisor.com/Airline_Review-d11831125-Reviews-Corendon-Airlines,"3,932 reviews"
Corsair,https://www.tripadvisor.com/Airline_Review-d8729056-Reviews-Corsair,"2,484 reviews"
Croatia Airlines,https://www.tripadvisor.com/Airline_Review-d8729057-Reviews-Croatia-Airlines,"1,174 reviews"
Cubana de Aviacion,https://www.tripadvisor.com/Airline_Review-d8729058-Reviews-Cubana-De-Aviacion,922 reviews
Cyprus Airways,https://www.tripadvisor.com/Airline_Review-d17695640-Reviews-Cyprus-Airways,137 reviews
Czech Airlines,https://www.tripadvisor.com/Airline_Review-d8728916-Reviews-Czech-Airlines,"2,520 reviews"
Daallo Airlines,https://www.tripadvisor.com/Airline_Review-d8728917-Reviews-Daallo-Airlines,4 reviews
Dalian Airlines,https://www.tripadvisor.com/Airline_Review-d8729209-Reviews-Dalian-Airlines,5 reviews
DAT Danish Air Transport,https://www.tripadvisor.com/Airline_Review-d10533101-Reviews-DAT-Danish-Air-Transport,424 reviews
Delta Air Lines,https://www.tripadvisor.com/Airline_Review-d8729060-Reviews-Delta-Air-Lines,"62,000 reviews"
Denver Air Connection,https://www.tripadvisor.com/Airline_Review-d13635957-Reviews-Denver-Air-Connection,37 reviews
Dniproavia [no longer operating - merged into Windrose Airlines],https://www.tripadvisor.com/Airline_Review-d8729062-Reviews-Dniproavia-No-Longer-Operating-Merged-Into-Windrose-Airlines,20 reviews
Donghai Airlines,https://www.tripadvisor.com/Airline_Review-d8728934-Reviews-Donghai-Airlines,11 reviews
Druk Air,https://www.tripadvisor.com/Airline_Review-d8729064-Reviews-Druk-Air,328 reviews
Dynamic International Airways,https://www.tripadvisor.com/Airline_Review-d10533110-Reviews-Dynamic-International-Airways,96 reviews
Eagle Air,https://www.tripadvisor.com/Airline_Review-d12878337-Reviews-Eagle-Air,16 reviews
Eastar Jet,https://www.tripadvisor.com/Airline_Review-d12124805-Reviews-Eastar-Jet,155 reviews
Eastern Airways,https://www.tripadvisor.com/Airline_Review-d8729065-Reviews-Eastern-Airways,319 reviews
EasyFly,https://www.tripadvisor.com/Airline_Review-d13635958-Reviews-EasyFly,138 reviews
easyJet,https://www.tripadvisor.com/Airline_Review-d8729066-Reviews-EasyJet,"62,194 reviews"
Edelweiss Air,https://www.tripadvisor.com/Airline_Review-d8728969-Reviews-Edelweiss-Air,"3,659 reviews"
EGYPTAIR,https://www.tripadvisor.com/Airline_Review-d8729067-Reviews-EGYPTAIR,"4,637 reviews"
EL AL Israel Airlines,https://www.tripadvisor.com/Airline_Review-d8729068-Reviews-EL-AL-Israel-Airlines,"4,733 reviews"
Elite Airways,https://www.tripadvisor.com/Airline_Review-d10661139-Reviews-Elite-Airways,187 reviews
Ellinair,https://www.tripadvisor.com/Airline_Review-d10816899-Reviews-Ellinair,933 reviews
Emirates,https://www.tripadvisor.com/Airline_Review-d8729069-Reviews-Emirates,"64,506 reviews"
Enter Air,https://www.tripadvisor.com/Airline_Review-d8729070-Reviews-Enter-Air,"2,821 reviews"
Equatorial Congo Airlines [no longer operating],https://www.tripadvisor.com/Airline_Review-d8728932-Reviews-Equatorial-Congo-Airlines-No-Longer-Operating,8 reviews
Eritrean Airlines,https://www.tripadvisor.com/Airline_Review-d8729071-Reviews-Eritrean-Airlines,2 reviews
Ernest [no longer operating],https://www.tripadvisor.com/Airline_Review-d15052986-Reviews-Ernest-No-Longer-Operating,431 reviews
Ethiopian Airlines,https://www.tripadvisor.com/Airline_Review-d8729073-Reviews-Ethiopian-Airlines,"6,382 reviews"
Etihad Airways,https://www.tripadvisor.com/Airline_Review-d8729074-Reviews-Etihad-Airways,"18,565 reviews"
Etihad Regional [no longer operating],https://www.tripadvisor.com/Airline_Review-d8728956-Reviews-Etihad-Regional-No-Longer-Operating,65 reviews
Euro Atlantic,https://www.tripadvisor.com/Airline_Review-d10661146-Reviews-Euro-Atlantic,150 reviews
European Coastal Airlines [no longer operating],https://www.tripadvisor.com/Airline_Review-d10533113-Reviews-European-Coastal-Airlines-No-Longer-Operating,25 reviews
Eurowings,https://www.tripadvisor.com/Airline_Review-d8729075-Reviews-Eurowings,"11,600 reviews"
EVA Air,https://www.tripadvisor.com/Airline_Review-d8729076-Reviews-EVA-Air,"7,184 reviews"
Far Eastern Air Transport [no longer operating],https://www.tripadvisor.com/Airline_Review-d10533117-Reviews-Far-Eastern-Air-Transport-No-Longer-Operating,15 reviews
fastjet,https://www.tripadvisor.com/Airline_Review-d8728924-Reviews-Fastjet,290 reviews
Fiji Airways,https://www.tripadvisor.com/Airline_Review-d8729077-Reviews-Fiji-Airways,"2,987 reviews"
Finnair,https://www.tripadvisor.com/Airline_Review-d8729078-Reviews-Finnair,"8,325 reviews"
firefly,https://www.tripadvisor.com/Airline_Review-d8728946-Reviews-Firefly,305 reviews
First Air,https://www.tripadvisor.com/Airline_Review-d8728885-Reviews-First-Air,52 reviews
Flair Airlines,https://www.tripadvisor.com/Airline_Review-d13635959-Reviews-Flair-Airlines,"11,566 reviews"
Fly Allways,https://www.tripadvisor.com/Airline_Review-d17213149-Reviews-Fly-Allways,3 reviews
Fly Baghdad,https://www.tripadvisor.com/Airline_Review-d13150561-Reviews-Fly-Baghdad,29 reviews
Fly Tiwi,https://www.tripadvisor.com/Airline_Review-d12665301-Reviews-Fly-Tiwi,1 review
Fly540,https://www.tripadvisor.com/Airline_Review-d11831107-Reviews-Fly540,208 reviews
Flyadeal,https://www.tripadvisor.com/Airline_Review-d13150562-Reviews-Flyadeal,223 reviews
FlyArystan,https://www.tripadvisor.com/Airline_Review-d17550098-Reviews-FlyArystan,237 reviews
Flybe [no longer operating],https://www.tripadvisor.com/Airline_Review-d8728910-Reviews-Flybe-No-Longer-Operating,"8,111 reviews"
flybmi [no longer operating],https://www.tripadvisor.com/Airline_Review-d11831104-Reviews-Flybmi-No-Longer-Operating,371 reviews
Flybondi,https://www.tripadvisor.com/Airline_Review-d13804001-Reviews-Flybondi,"1,247 reviews"
FLYBOSNIA,https://www.tripadvisor.com/Airline_Review-d19698652-Reviews-FLYBOSNIA,7 reviews
flydubai,https://www.tripadvisor.com/Airline_Review-d8729199-Reviews-Flydubai,"6,810 reviews"
FlyEgypt,https://www.tripadvisor.com/Airline_Review-d13635960-Reviews-FlyEgypt,603 reviews
Flyme,https://www.tripadvisor.com/Airline_Review-d12976996-Reviews-Flyme,37 reviews
